(A) Last 3-Day Direction,(P) Triple Crossover,(P) Short Crossover,(P) Trend Longer Than 1 Day,(P) Down-Up Reversal Status,(P) Up-Down Reversal Status,"(P) Reversal Lasted Only 
1-Day","(A) Close From 
Open",(A) Open to Closed Switch,(P) Low < Long Predict,(P) Low < T.Cross Short,(P) Low < T.Cross Long,(P) Medium Crossover,(P) Long Crossover,(P) Short Diff. Direction,(P) Med Diff. Direction,(P) Long Diff. Direction,(P) Med to Short Diff Switch,"(P) Long Diff. Minus 
Med Diff.",(A) High > Short Actual,(P) Neural Index,(A) 2 Day Swing,"(A) 2 Day
Travel",(A) Most Recent Extreme,VIX Factor,"FFT 
Outcome","Akkio
Outcome","Probability 
Outcome is 
No Trade","Probability 
Outcome is 
Won","(P) Long Diff. Minus 
Med Diff. contains outlier",(A) 2 Day Swing contains outlier,"(A) 2 Day
Travel contains outlier",(A) Most Recent Extreme contains outlier,VIX Factor contains outlier,Akkio__Outcome,Probability Outcome is No Trade,Probability Outcome is Won,Probability Outcome is Lost,Probability Outcome is Folded
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-13.07495,TRUE,up,0.025538937,0.002810437,0.055060556,0.912272727,No Trade,No Trade,0.8930649161338806,0.083805822,,,,,,No Trade,0.8930649161338806,0.083805822,0.018848628,0.004280581
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-19.59522,TRUE,up,0.022757787,0.001191616,0.055060556,0.548888889,No Trade,No Trade,0.8926927447319031,0.084529653,,,,,,No Trade,0.8926927447319031,0.084529653,0.018675551,0.004101981
Up,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-24.20019,TRUE,up,0.019356608,0.002286599,0.055060556,0.804090909,No Trade,No Trade,0.8917344808578491,0.061759438,,,,,,No Trade,0.8917344808578491,0.061759438,0.032739419,0.01376665
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Down,-5.68457,FALSE,up,0.024441498,0.002654338,0.055060556,0.960909091,No Trade,No Trade,0.8524478077888489,0.12922580540180206,,,,,,No Trade,0.8524478077888489,0.12922580540180206,0.011205701157450676,0.007120678
Up,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,2.04981,TRUE,up,0.023831701,0.006044693,-0.035095998,1.156666667,No Trade,No Trade,0.8449392914772034,0.092314735,,,,,,No Trade,0.8449392914772034,0.092314735,0.046106275,0.016639657
Up,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-40.783201,TRUE,up,0.023450285,0.007325105,0.055060556,0.6388,No Trade,No Trade,0.8408119678497314,0.10031098127365112,,,,,,No Trade,0.8408119678497314,0.10031098127365112,0.049881324,0.008995708
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-14.30713,TRUE,up,0.02144312,0.005196581,0.055060556,0.737826087,No Trade,No Trade,0.8329945206642151,0.13355152308940887,,,,,,No Trade,0.8329945206642151,0.13355152308940887,0.030143551528453827,0.003310509
Up,Ambig,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,-1.511233,TRUE,up,0.016755375,0.001218833,0.055060556,0.554814815,No Trade,No Trade,0.8298534154891968,0.081988916,,,,,,No Trade,0.8298534154891968,0.081988916,0.053209904581308365,0.034947820007801056
Flat,Ambig,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,FALSE,Down,Up,Up,Up,Down,Down,22.605464,TRUE,up,0.013614516,0.001244747,0.055060556,0.508888889,No Trade,No Trade,0.8030913472175598,0.15766039490699768,,,,,,No Trade,0.8030913472175598,0.15766039490699768,0.022445501759648323,0.016802778467535973
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Down,Up,Down,Down,Down,Stable,26.733395,FALSE,down,0.021370516,0.000929841,0.055060556,0.931363636,No Trade,No Trade,0.7929666042327881,0.12655597925186157,,,,,,No Trade,0.7929666042327881,0.12655597925186157,0.043345671,0.037131779
